Data set,All Authors affiliated with Dartmouth College,,,,,,,,,,
Entity,Dartmouth College,,,,,,,,,,
Year range,2013 to >2023,,,,,,,,,,
Types of publications included,all publication types,,,,,,,,,,
Self-citations,included,,,,,,,,,,
,,,,,,,,,,,
Data source,Scopus,,,,,,,,,,
Date last updated,12-Jun-24,,,,,,,,,,
,,,,,,,,,,,
Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Output in Top 10% Citation Percentiles (field-weighted),Oldest publication (since 1996),Scopus author ID,Scopus author profile,Primary author affiliation
"Pogue, Brian W.",414,2024,7419,17.9,1.17,77,147,1996,7005432217,https://www.scopus.com/authid/detail.url?authorId=7005432217,Dartmouth College
"Karagas, Margaret Rita",369,2024,9923,26.9,1.95,90,136,1996,7003779589,https://www.scopus.com/authid/detail.url?authorId=7003779589,Dartmouth College
"Paulsen, Keith D.",259,2024,4250,16.4,1.14,83,173,1996,7102750366,https://www.scopus.com/authid/detail.url?authorId=7102750366,Dartmouth College
"Amos, Christopher Ian",238,2023,12252,51.5,2,66,54,2013,57203053825,https://www.scopus.com/authid/detail.url?authorId=57203053825,Baylor College of Medicine
"Elwyn, Glyn Jones",225,2024,9233,41,2.7,88,74,2012,7005871842,https://www.scopus.com/authid/detail.url?authorId=7005871842,Dartmouth College
"Tosteson, Anna N.Angelos",203,2024,6793,33.5,2.13,77,92,1996,7006963779,https://www.scopus.com/authid/detail.url?authorId=7006963779,Dartmouth College
"MacKenzie, Todd A.",169,2024,4230,25,1.53,54,47,2003,57202500493,https://www.scopus.com/authid/detail.url?authorId=57202500493,Dartmouth College
"O'Malley, James James",165,2024,3720,22.5,1.99,55,37,2013,57189996442,https://www.scopus.com/authid/detail.url?authorId=57189996442,Dartmouth College
"Schnurr, Paula P.",160,2024,8441,52.8,3.14,60,63,1996,7003686641,https://www.scopus.com/authid/detail.url?authorId=7003686641,Dartmouth College
"Ackerman, Margaret E.",158,2024,5020,31.8,1.91,43,33,2011,23479482800,https://www.scopus.com/authid/detail.url?authorId=23479482800,Dartmouth College
"Shaker, Marcus S.",157,2024,2955,18.8,2.46,34,41,2007,23398757100,https://www.scopus.com/authid/detail.url?authorId=23398757100,Dartmouth College
"Baker, Ian",150,2024,3519,23.5,1.35,42,40,1996,7102890126,https://www.scopus.com/authid/detail.url?authorId=7102890126,Dartmouth College
"Marsch, Lisa A.",146,2024,4422,30.3,1.86,45,35,2011,6602976403,https://www.scopus.com/authid/detail.url?authorId=6602976403,Unknown affiliation
"Onega, Tracy L.",144,2023,4956,34.4,1.71,41,31,2004,35269298000,https://www.scopus.com/authid/detail.url?authorId=35269298000,Dartmouth College
"Christensen, Brock C.",143,2024,3504,24.5,1.75,48,36,2011,8577632600,https://www.scopus.com/authid/detail.url?authorId=8577632600,Dartmouth College
