Data set,Summary metrics,,,,,
Entity,Dartmouth College,,,,,
Year range,2018 to 2022,,,,,
Subject classification,ASJC,,,,,
Filtered by,not filtered,,,,,
Types of publications included,all publication types,,,,,
Self-citations,included,,,,,
,,,,,,
Data source,Scopus,,,,,
Date last updated,12-Jun-24,,,,,
Date exported,20-Jun-24,,,,,
,,,,,,
"	",Overall,2018,2019,2020,2021,2022
Awards Count,175,35,34,41,34,31
Awards Value (USD),97056959,27294350,19560532,21424253,15652966,13124858
International Collaboration (%),32.1,29.6,31.1,32.1,32.2,35.3
Academic-Corporate Collaboration (%),5.1,4.8,5.3,5.1,5.2,5.2
Scholarly Output,12601,2419,2372,2460,2714,2636
Scholarly Output (growth %),9,,,,,
Scholarly Output (Open Access %),62.66,,,,,
Citations,264309,82707,55790,71754,34543,19515
Field-Weighted Citation Impact,1.71,2.02,1.59,2.05,1.46,1.49
Field-Weighted Citation Impact (median),0.79,0.86,0.85,0.72,0.76,0.76
,,,,,,
"Outputs in Top Citation Percentiles (top 10%, field-weighted)",16.3,17,17.7,16.1,15.6,15.4
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),41.9,45.2,42.1,43.5,39.8,39.7
Citations per Publication,21,34.2,23.5,29.2,12.7,7.4
Views,282957,75885,59538,53960,54867,38707
Outputs in Top Views Percentiles (top 10%),8.5,9.1,10.2,8.9,7.4,7.2
Views per Publication,22.5,31.4,25.1,21.9,20.2,14.7
Field-Weighted View Impact,1.08,1.33,1.08,0.98,1.08,0.94
Patents Count (patent office: All Patent Offices),899,354,285,244,52,18
Scholarly Output cited by Patents (patent office: All Patent Offices),,,,,,
Patent-Citations Count (patent office: All Patent Offices),988,378,289,249,53,19
Patent-Citations per Scholarly Output (patent office: All Patent Offices),78.4,156.3,121.8,101.2,19.5,7.2
Mass Media (Print),5631,1200,1532,1088,984,827
Media Exposure Internationally recognized (Print),680,128,269,111,102,70
Media Exposure Regionally recognized (Print),123,21.5,29,27.5,26,19
Media Exposure Nationally recognized (Print),441.9,61.2,97.5,101.7,96.6,84.9
Media Exposure Locally recognized (Print),646.4,165,176,116.6,101.6,87.2
Media Exposure Local interest (Print),,,,,,
Authors,5967,2155,2252,2315,2374,2251
Authors (growth %),4.5,,,,,
,,,,,,
Details on awards received in a different currency,,,,,,
,,,,,,
Funding Body,USD,Native currency,Country/Region,,,
Arts and Humanities Research Council (AHRC),951002,744833 GBP,United Kingdom,,,
Australian Research Council (ARC),263972,379707 AUD,Australia,,,
Canadian Institutes of Health Research (data directly linked to parent Organization) (CIHR),115768,150000 CAD,Canada,,,
Economic and Social Research Council (ESRC),981534,768746 GBP,United Kingdom,,,
National Natural Science Foundation of China (NNSF),318467,2200000 CNY,China,,,
Natural Sciences and Engineering Research Council of Canada (NSERC),51279,67500 CAD,Canada,,,
Social Sciences and Humanities Research Council of Canada (SSHRC),29624,38384 CAD,Canada,,,
,,,,,,
h5-index,118,,,,,
,,,,,,
"© 2024 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license.",,,,,,
