eid,name,variant,documents,city,country
10-s2.0-60023612,Federal Reserve System,,3543,"Washington, D.C.",United States
10-s2.0-60019743,Federal Reserve Bank of New York,,1347,New York,United States
10-s2.0-60104179,Federal Reserve Bank of St. Louis,,1155,St. Louis,United States
10-s2.0-60013830,Federal Reserve Bank of Chicago,,895,Chicago,United States
10-s2.0-60091322,Federal Reserve Bank of Minneapolis,,793,Minneapolis,United States
10-s2.0-60112672,Federal Reserve Bank of Philadelphia,,733,Philadelphia,United States
10-s2.0-60031864,Federal Reserve Bank of San Francisco,,704,San Francisco,United States
10-s2.0-60010152,Federal Reserve Bank of Atlanta,,634,Atlanta,United States
10-s2.0-60008845,Federal Reserve Bank of Dallas,,621,Dallas,United States
10-s2.0-60018149,Federal Reserve Bank of Cleveland,,525,Cleveland,United States
10-s2.0-60112497,Federal Reserve Bank of Boston,,466,Boston,United States
10-s2.0-60030591,Federal Reserve Bank of Richmond,,425,Richmond,United States
10-s2.0-60112315,Federal Reserve Bank of Kansas City,,381,Kansas City,United States
10-s2.0-60003623,Federal Reserve Board Division of International Finance,,151,"Washington, D.C.",United States
10-s2.0-60009120,"Division of Research and Statistics, Federal Reserve Board",Research Department,147,"Washington, D.C.",United States
10-s2.0-115922493,Kronotsky Federal Nature Biosphere Reserve,,29,"Kamchatka Region, Yelizovo",Russian Federation
10-s2.0-114477379,Mordovia State Nature Reserve,,25,"Mordovia Republic, Temnikov Region, Village Pushta",Russian Federation
10-s2.0-106020596,Federal Reserve Bank of Richmond,,25,Charlotte,United States
10-s2.0-60030191,"Division of Monetary Affairs, Federal Reserve Board",Division Of Monetary Affairs,21,"Washington, D.C.",United States
10-s2.0-108078776,Federal Reserve Bank of Richmond,Federal Reserve Bank Of Richmond,16,Baltimore,United States
10-s2.0-100825969,Federal Reserve Bank,,13,Minneapolis,United States
10-s2.0-100525438,Prioksko-Terrasny State Biosphere Reserve,Prioksko-terrasnyi State Biosphere Reserve,13,Moscow,Russian Federation
10-s2.0-122647737,Ryazan Historical and Architectural Museum-Reserve,Ryazan Historical And Architectural Museum-reserve,8,Ryazan,Russian Federation
