eid,author_count,scopus_link,status,name,variant,documents,city,country,parent
10-s2.0-60023612,763,https://www.scopus.com/affil/profile.uri?afid=60023612&partnerID=HzOxMe3b&origin=inward,update,Federal Reserve System,,3543,"Washington, D.C.",United States,0
10-s2.0-60019743,238,https://www.scopus.com/affil/profile.uri?afid=60019743&partnerID=HzOxMe3b&origin=inward,update,Federal Reserve Bank of New York,,1347,New York,United States,0
10-s2.0-60104179,123,https://www.scopus.com/affil/profile.uri?afid=60104179&partnerID=HzOxMe3b&origin=inward,update,Federal Reserve Bank of St. Louis,,1155,St. Louis,United States,0
10-s2.0-60013830,117,https://www.scopus.com/affil/profile.uri?afid=60013830&partnerID=HzOxMe3b&origin=inward,update,Federal Reserve Bank of Chicago,,895,Chicago,United States,0
10-s2.0-60091322,67,https://www.scopus.com/affil/profile.uri?afid=60091322&partnerID=HzOxMe3b&origin=inward,update,Federal Reserve Bank of Minneapolis,,793,Minneapolis,United States,0
10-s2.0-60112672,124,https://www.scopus.com/affil/profile.uri?afid=60112672&partnerID=HzOxMe3b&origin=inward,update,Federal Reserve Bank of Philadelphia,,733,Philadelphia,United States,0
10-s2.0-60031864,86,https://www.scopus.com/affil/profile.uri?afid=60031864&partnerID=HzOxMe3b&origin=inward,update,Federal Reserve Bank of San Francisco,,704,San Francisco,United States,0
10-s2.0-60010152,71,https://www.scopus.com/affil/profile.uri?afid=60010152&partnerID=HzOxMe3b&origin=inward,update,Federal Reserve Bank of Atlanta,,634,Atlanta,United States,0
10-s2.0-60008845,98,https://www.scopus.com/affil/profile.uri?afid=60008845&partnerID=HzOxMe3b&origin=inward,update,Federal Reserve Bank of Dallas,,621,Dallas,United States,0
10-s2.0-60018149,80,https://www.scopus.com/affil/profile.uri?afid=60018149&partnerID=HzOxMe3b&origin=inward,update,Federal Reserve Bank of Cleveland,,525,Cleveland,United States,0
10-s2.0-60112497,105,https://www.scopus.com/affil/profile.uri?afid=60112497&partnerID=HzOxMe3b&origin=inward,update,Federal Reserve Bank of Boston,,466,Boston,United States,0
10-s2.0-60030591,66,https://www.scopus.com/affil/profile.uri?afid=60030591&partnerID=HzOxMe3b&origin=inward,update,Federal Reserve Bank of Richmond,,425,Richmond,United States,0
10-s2.0-60112315,90,https://www.scopus.com/affil/profile.uri?afid=60112315&partnerID=HzOxMe3b&origin=inward,update,Federal Reserve Bank of Kansas City,,381,Kansas City,United States,0
10-s2.0-60003623,32,https://www.scopus.com/affil/profile.uri?afid=60003623&partnerID=HzOxMe3b&origin=inward,update,Federal Reserve Board Division of International Finance,,151,"Washington, D.C.",United States,0
