wos_resareas,count
Environmental Sciences & Ecology,563
Psychology,427
Engineering,404
Business & Economics,352
Psychiatry,226
Science & Technology - Other Topics,208
Social Sciences - Other Topics,200
Computer Science,197
"Public, Environmental & Occupational Health",163
Water Resources,154
Geology,135
Meteorology & Atmospheric Sciences,133
Education & Educational Research,128
Operations Research & Management Science,124
Geography,112
Nursing,98
Public Administration,95
Urban Studies,79
Social Work,59
Energy & Fuels,52
Neurosciences & Neurology,50
Health Care Sciences & Services,47
Telecommunications,45
Family Studies,44
Geriatrics & Gerontology,43
Government & Law,42
Construction & Building Technology,41
Development Studies,39
Transportation,32
Sociology,29
Mathematics,26
Pediatrics,25
International Relations,24
Agriculture,23
General & Internal Medicine,22
Criminology & Penology,18
Automation & Control Systems,17
Rehabilitation,17
Oncology,17
Physical Geography,16
Behavioral Sciences,16
Communication,16
Anthropology,15
Mathematical Methods In Social Sciences,15
Area Studies,14
Materials Science,13
Biodiversity & Conservation,13
Physics,13
Biomedical Social Sciences,11
Architecture,10
Social Issues,10
Pharmacology & Pharmacy,10
Religion,9
Medical Informatics,9
Marine & Freshwater Biology,8
Surgery,8
Food Science & Technology,7
Chemistry,7
Linguistics,6
Women's Studies,6
Sport Sciences,6
Forestry,6
Substance Abuse,6
Veterinary Sciences,6
,6
Information Science & Library Science,6
Oceanography,6
Remote Sensing,5
Arts & Humanities - Other Topics,5
Toxicology,5
Obstetrics & Gynecology,5
Life Sciences & Biomedicine - Other Topics,5
Optics,4
Cultural Studies,4
Art,4
Thermodynamics,3
Respiratory System,3
Ethnic Studies,3
Imaging Science & Photographic Technology,3
Mathematical & Computational Biology,3
Research & Experimental Medicine,3
Emergency Medicine,3
"Dentistry, Oral Surgery & Medicine",3
Cell Biology,3
Zoology,3
Philosophy,2
Mechanics,2
Biochemistry & Molecular Biology,2
Theater,2
Rheumatology,2
Metallurgy & Metallurgical Engineering,2
Evolutionary Biology,2
History,2
Robotics,2
Nuclear Science & Technology,2
Demography,2
Fisheries,2
Immunology,2
Endocrinology & Metabolism,2
"Radiology, Nuclear Medicine & Medical Imaging",2
Plant Sciences,2
Hematology,1
Cardiovascular System & Cardiology,1
Biophysics,1
Paleontology,1
Transplantation,1
Allergy,1
Otorhinolaryngology,1
Genetics & Heredity,1
Urology & Nephrology,1
Instruments & Instrumentation,1
Virology,1
Music,1
Infectious Diseases,1
Electrochemistry,1
Microbiology,1
Polymer Science,1
Orthopedics,1
Mining & Mineral Processing,1
