University Name,Name,Position
Harvard College,Alberto Alesina,Professor
Harvard College,Isaiah Andrews,Professor
Harvard College,Pol Antràs,Professor
Harvard College,Robert J. Barro,Professor
Harvard College,Emily Breza,Assistant Professor
Harvard College,John Y. Campbell,Professor
Harvard College,Gary Chamberlain,Professor
Harvard College,Raj Chetty,Professor
Harvard College,Gabriel Chodorow-Reich,Assistant Professor
Harvard College,Richard Cooper,Professor
Harvard College,David M. Cutler,Professor
Harvard College,Melissa Dell,Professor
Harvard College,Karen Dynan,Professor
Harvard College,Benjamin Enke,Assistant Professor
Harvard College,Emmanuel Farhi,Professor
Harvard College,Martin Feldstein,Professor
Harvard College,Christopher Foote,Professor
Harvard College,Richard B. Freeman,Professor
Harvard College,Benjamin Friedman,Professor
Harvard College,"Roland G. Fryer, Jr.",Professor
Harvard College,Xavier Gabaix,Professor
Harvard College,Edward Glaeser,Professor
Harvard College,Claudia Goldin,Professor
Harvard College,Benjamin Golub,Assistant Professor
Harvard College,Gita Gopinath,Professor
Harvard College,Jerry Green,Professor
Harvard College,Oliver Hart,Professor
Harvard College,Elhanan Helpman,Professor
Harvard College,Nathaniel Hendren,Professor
Harvard College,Dale Jorgenson,Professor
Harvard College,Myrto Kalouptsidi,Assistant Professor
Harvard College,Maximilian Kasy,Assistant Professor
Harvard College,Lawrence Katz,Professor
Harvard College,Gabriel Kreindler,Assistant Professor
Harvard College,Michael Kremer,Professor
Harvard College,David Laibson,Professor
Harvard College,Robin Lee,Assistant Professor
Harvard College,Matteo Maggiori,Assistant Professor
Harvard College,N. Gregory Mankiw,Professor
Harvard College,Stephen Marglin,Professor
Harvard College,Eric S. Maskin,Professor
Harvard College,Marc Melitz,Professor
Harvard College,Jeffrey Miron,Senior Lecturer
Harvard College,Nathan Nunn,Professor
Harvard College,Ariel Pakes,Professor
Harvard College,Amanda Pallais,Professor
Harvard College,Matthew Rabin,Professor
Harvard College,Gautam Rao,Assistant Professor
Harvard College,Kenneth Rogoff,Professor
Harvard College,Amartya Sen,Professor
Harvard College,Neil Shephard,Professor
Harvard College,Andrei Shleifer,Professor
Harvard College,Stefanie Stantcheva,Professor
Harvard College,Jeremy Stein,Chaired Professor
Harvard College,James Stock,Professor
Harvard College,Tomasz Strzalecki,Professor
Harvard College,Lawrence H. Summers,Professor
Harvard College,Elie Tamer,Professor
 University of Chicago,Robert Shimer,Chaired Professor
 University of Chicago,Ufuk Akcigit,Associate Professor
 University of Chicago,Fernando Alvarez,Professor
 University of Chicago,Stéphane Bonhomme,Professor
 University of Chicago,Benjamin Brooks,Assistant Professor
 University of Chicago,Leonardo Bursztyn,Assistant Professor
 University of Chicago,Manasi Deshpande,Assistant Professor
 University of Chicago,Michael Dinerstein,Assistant Professor
 University of Chicago,David Galenson,Professor
 University of Chicago,Mikhail Golosov,Professor
 University of Chicago,Michael Greenstone,Professor
 University of Chicago,Lars Peter Hansen,Professor
 University of Chicago,Arnold C. Harberger,Professor
 University of Chicago,James J. Heckman,Professor
 University of Chicago,Ali Hortaçsu,Professor
 University of Chicago,Greg Kaplan,Professor
 University of Chicago,Thibaut Lamadon,Assistant Professor
 University of Chicago,Steve Levitt,Professor
 University of Chicago,Elliot Lipnowski,Assistant Professor
 University of Chicago,John List,Professor
 University of Chicago,"Robert E. Lucas, Jr.",Professor
 University of Chicago,Magne Mogstad,Professor
 University of Chicago,Simon Mongey,Assistant Professor
 University of Chicago,Casey Mulligan,Professor
 University of Chicago,Kevin M. Murphy,Professor
 University of Chicago,Roger B. Myerson,Professor
 University of Chicago,Derek A. Neal,Professor
 University of Chicago,Doron Ravid,Assistant Professor
 University of Chicago,Philip J. Reny,Professor
 University of Chicago,Thomas Sargent,Professor
 University of Chicago,Azeem Shaikh,Professor
 University of Chicago,Hugo F. Sonnenschein,Professor
 University of Chicago,Nancy L. Stokey,Professor
 University of Chicago,Pietro Tebaldi,Assistant Professor
 University of Chicago,Lester G. Telser,Professor
 University of Chicago,Felix Tintelnot,Assistant Professor
 University of Chicago,George S. Tolley,Professor
 University of Chicago,Alexander Torgovitsky,Assistant Professor
 University of Chicago,Robert Townsend,Associate Professor
 University of Chicago,Harald Uhlig,Professor
 University of Chicago,Alessandra Voena,Associate Professor
 University of Chicago,Ryan Yuhao Fang,Lecturer
 University of Chicago,Kanit Kuevibulvanich,Lecturer
 University of Chicago,Min Sok Lee,Lecturer
 University of Chicago,Victor O. Lima,Senior Lecturer
 University of Chicago,Gina Pieters,Lecturer
 University of Chicago,Christopher Roark,Lecturer
 University of Chicago,Kotaro Yoshida,Senior Lecturer
 University of Chicago,Allen R. Sanderson,Senior Lecturer
